name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
John Salter,N/A,1985.03.21,19-6-0 (Win-Loss-Draw),"$42,000 USD","6'1"" (186cm)","73.5"" (187cm)",185.8 lbs,Middleweight,"March 31, 2023"
Владимир Токов,Vova,1996.04.14,9-2-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","73.0"" (185cm)",155.2 lbs,Lightweight,"August 11, 2023"
Volkan Oezdemir,No Time,1989.09.19,19-7-0 (Win-Loss-Draw),"$564,000 USD","6'2"" (188cm)","75.0"" (191cm)",205.0 lbs,Light Heavyweight,"September 02, 2023"
Mike Hamel,Magic,1992.08.12,11-6-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","68.0"" (173cm)",155.8 lbs,Lightweight,"November 17, 2023"
Kelvin Gastelum,N/A,1991.10.24,"18-9-0, 1 NC (Win-Loss-Draw)","$603,000 USD","5'9"" (175cm)","71.5"" (182cm)",170.0 lbs,Welterweight,"December 02, 2023"
Paul Craig,Bearjew,1987.11.27,17-8-1 (Win-Loss-Draw),"$432,000 USD","6'3"" (192cm)","76.0"" (193cm)",185.0 lbs,Middleweight,"May 04, 2024"
Victor Westley Henry,La Mangosta,1987.05.04,"24-6-0, 1 NC (Win-Loss-Draw)","$40,000 USD","5'7"" (170cm)","68.0"" (173cm)",135.5 lbs,Bantamweight,"April 27, 2024"
Don'Tale O’Neill Mayes,Lord Kong,1992.01.16,"11-6-0, 1 NC (Win-Loss-Draw)","$10,000 USD","6'6"" (198cm)","81.0"" (206cm)",264.0 lbs,Heavyweight,"April 27, 2024"
Douglas Lima,The Phenom,1988.01.05,33-11-0 (Win-Loss-Draw),"$230,000 USD","6'1"" (186cm)","74.5"" (189cm)",185.8 lbs,Middleweight,"May 12, 2023"
Holly Rene Holm-Kirkpatrick,The Preacher's Daughter,1981.10.17,15-7-0 (Win-Loss-Draw),"$1,600,000 USD","5'8"" (173cm)","69.0"" (175cm)",136.0 lbs,Bantamweight,"April 13, 2024"
David Aliga Onama,Silent Assassin,1994.06.07,12-2-0 (Win-Loss-Draw),"$174,000 USD","5'11"" (180cm)","74.0"" (188cm)",148.5 lbs,Featherweight,"April 27, 2024"
Francisco Prado,N/A,2002.06.16,12-2-0 (Win-Loss-Draw),"$100,000 USD","5'10"" (178cm)","69.3"" (176cm)",156.0 lbs,Lightweight,"February 24, 2024"
Jasmine Jasudavicius,N/A,1989.03.01,10-3-0 (Win-Loss-Draw),"$70,000 USD","5'7"" (170cm)","68.0"" (173cm)",133.0 lbs,Flyweight,"January 20, 2024"
Mads Burnell,N/A,1994.03.06,18-6-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","68.0"" (173cm)",156.0 lbs,Lightweight,"April 12, 2024"
Andre Muniz de Aguiar,Sergipano,1990.02.17,24-6-0 (Win-Loss-Draw),"$50,000 USD","6'1"" (185cm)","78.0"" (198cm)",186.0 lbs,Middleweight,"December 09, 2023"
Рамазан Курмагомедов,N/A,1996.08.23,12-0-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","73.0"" (185cm)",171.0 lbs,Welterweight,"November 17, 2023"
Suphisara Konklak,N/A,1996.01.18,9-3-0 (Win-Loss-Draw),$0 USD,"5'1"" (155cm)","61.5"" (156cm)",115.5 lbs,Strawweight,"February 10, 2024"
Douglas Silva de Andrade,D'Silva,1985.06.22,"29-5-0, 1 NC (Win-Loss-Draw)","$139,000 USD","5'7"" (170cm)","68.5"" (174cm)",139.5 lbs,Bantamweight,"May 13, 2023"
Mackenzie Stiller,MacJudo,1999.07.15,2-0-0 (Win-Loss-Draw),$0 USD,"5'2"" (157cm)","62.0"" (157cm)",115.8 lbs,Strawweight,"September 23, 2023"
Uroš Medić,The Doctor,1993.04.25,10-2-0 (Win-Loss-Draw),"$100,000 USD","6'1"" (185cm)","71.0"" (180cm)",171.0 lbs,Welterweight,"April 27, 2024"
Leah McCourt,The Curse,1992.06.21,8-3-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","69.0"" (175cm)",146.0 lbs,Featherweight,"October 07, 2023"
Javid Basharat,The Snow Leopard,1995.09.07,"14-1-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'9"" (175cm)","69.0"" (175cm)",136.0 lbs,Bantamweight,"March 02, 2024"
Bruno Arruda da Silva,Blindado,1989.07.13,23-11-0 (Win-Loss-Draw),"$190,000 USD","6'0"" (183cm)","74.0"" (188cm)",186.0 lbs,Middleweight,"March 30, 2024"
Sedriques Dumas,The Reaper,1995.08.06,9-2-0 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","79.0"" (201cm)",185.0 lbs,Middleweight,"March 30, 2024"
Modestas Bukauskas,The Baltic Gladiator,1994.02.10,15-6-0 (Win-Loss-Draw),"$50,000 USD","6'3"" (191cm)","78.0"" (198cm)",205.5 lbs,Light Heavyweight,"November 04, 2023"
Gregory Babene,Blade,1984.01.26,"23-12-0, 1 NC (Win-Loss-Draw)",$0 USD,"6'0"" (183cm)","73.0"" (185cm)",185.7 lbs,Middleweight,"May 17, 2024"
Jennifer Maia,N/A,1988.10.06,21-10-1 (Win-Loss-Draw),"$119,500 USD","5'4"" (163cm)","64.0"" (163cm)",125.0 lbs,Flyweight,"October 14, 2023"
Grant Neal,The Truth,1995.10.05,9-2-0 (Win-Loss-Draw),"$16,000 USD","5'11"" (180cm)","74.0"" (188cm)",205.4 lbs,Light Heavyweight,"March 22, 2024"
Augusto Sakai,N/A,1991.05.19,16-6-1 (Win-Loss-Draw),"$124,000 USD","6'3"" (191cm)","77.0"" (196cm)",264.1 lbs,Heavyweight,"June 07, 2024"
Justine Kish,The Machine,1988.04.13,9-6-0 (Win-Loss-Draw),"$34,000 USD","5'5"" (165cm)","64.5"" (164cm)",125.6 lbs,Flyweight,"August 11, 2023"
Miesha Tate,Cupcake,1986.08.18,20-9-0 (Win-Loss-Draw),"$1,136,500 USD","5'6"" (168cm)","66.5"" (169cm)",135.5 lbs,Bantamweight,"December 02, 2023"
Ion Cutelaba,The Hulk,1993.12.14,"17-10-1, 1 NC (Win-Loss-Draw)","$137,000 USD","6'1"" (185cm)","75.0"" (191cm)",205.0 lbs,Light Heavyweight,"March 09, 2024"
Jack Shore,Tank,1995.02.06,17-2-0 (Win-Loss-Draw),"$50,000 USD","5'8"" (173cm)","71.0"" (180cm)",145.5 lbs,Featherweight,"May 04, 2024"
Bruno Gustavo Aparecido da Silva,Bulldog,1990.03.16,"13-5-2, 1 NC (Win-Loss-Draw)","$150,000 USD","5'4"" (163cm)","66.0"" (168cm)",125.5 lbs,Flyweight,"March 11, 2023"
Jéssica Andrade,Bate Estaca,1991.09.25,26-12-0 (Win-Loss-Draw),"$742,000 USD","5'1"" (156cm)","62.0"" (157cm)",116.0 lbs,Strawweight,"April 13, 2024"
Matt Frevola,The Steamrolla,1990.06.11,11-4-1 (Win-Loss-Draw),"$116,000 USD","5'9"" (175cm)","71.0"" (180cm)",155.6 lbs,Lightweight,"November 11, 2023"
Jared Gordon,Flash,1988.09.06,"20-6-0, 1 NC (Win-Loss-Draw)","$180,000 USD","5'9"" (175cm)","68.0"" (173cm)",155.6 lbs,Lightweight,"November 11, 2023"
Jeremiah C. Wells,N/A,1986.10.30,12-4-1 (Win-Loss-Draw),"$50,000 USD","5'9"" (175cm)","74.0"" (188cm)",171.0 lbs,Welterweight,"February 10, 2024"
Carlos Vergara,N/A,1991.06.18,12-5-1 (Win-Loss-Draw),"$50,000 USD","5'6"" (168cm)","68.0"" (173cm)",127.0 lbs,Flyweight,"March 09, 2024"
Linton Vassell,The Big Swarm,1983.06.03,"24-9-0, 1 NC (Win-Loss-Draw)","$202,000 USD","6'4"" (193cm)","80.5"" (204cm)",240.8 lbs,Heavyweight,"April 04, 2024"
Sean Brady,N/A,1992.11.23,16-1-0 (Win-Loss-Draw),"$124,000 USD","5'10"" (178cm)","72.5"" (184cm)",170.0 lbs,Welterweight,"December 02, 2023"
Нурсултан Рузибоев,Black,1993.11.19,"34-9-2, 2 NC (Win-Loss-Draw)","$50,000 USD","6'5"" (196cm)","76.0"" (193cm)",170.3 lbs,Welterweight,"May 11, 2024"
Газиев Шамиль Хасбулаевич,N/A,1990.02.10,12-1-0 (Win-Loss-Draw),"$50,000 USD","6'4"" (193cm)","78.5"" (199cm)",261.0 lbs,Heavyweight,"March 02, 2024"
Denise Pacheco Gomes,Dee,1999.12.30,9-3-0 (Win-Loss-Draw),"$50,000 USD","5'2"" (157cm)","63.0"" (160cm)",116.0 lbs,Strawweight,"June 08, 2024"
